episode,reward,steps
0,-87.05717160303804,200
1,-86.96358020931301,200
2,-68.62655367431125,200
3,-168.02726875611992,198
4,-62.24185678764524,200
5,-162.68441302235283,70
6,-216.6761975831033,57
7,-86.25989779841663,44
8,-212.9474671447614,42
9,-167.26512192614604,43
10,-249.3229662952191,55
11,-224.6537004258319,53
12,-185.7742761667982,46
13,-173.34875343414026,39
14,-157.92140228452698,45
15,-186.3394082763422,40
16,-226.887813982196,45
17,-201.4259716343782,51
18,-195.82564857022464,45
19,-231.91646391062707,55
20,-208.1995381934883,52
21,-300.1179733129858,74
22,-188.2791495551771,48
23,-223.69252968808178,53
24,-223.52829712294928,54
25,-193.25166050757156,50
26,-277.9865977542165,63
27,-165.7074122715876,39
28,-177.51263957982854,39
29,-240.21056717249726,57
30,-168.50377011758084,41
31,-289.23210148681335,72
32,-236.75445587777477,56
33,-233.97256845841866,63
34,-254.51272730602204,61
35,-182.3753373586662,53
36,-178.06067114937207,39
37,-155.86801112056835,40
38,-167.77374278234993,45
39,-160.63976154005064,47
40,-188.2808833987924,51
41,-139.89446277875652,42
42,-180.98612780663387,58
43,-93.86040183857884,42
44,-175.65209791937565,42
45,-167.95819630050266,60
46,-114.87012929110485,36
47,-188.65693327025244,52
48,-155.60706265717994,60
49,-201.7220530691084,68
50,-154.19930127549014,41
51,-144.75442842859007,48
52,-159.46848892584845,47
53,-113.19754144217248,37
54,-192.68055246068474,56
55,-177.56517782838455,71
56,-136.88764404592501,41
57,-205.04052765134628,66
58,-135.30401780295335,45
59,-132.89339612905394,48
60,-107.71003086740342,48
61,-199.7538506810369,68
62,-198.29745085900535,61
63,-155.9604117596216,52
64,-115.34735169816001,58
65,-135.78608236491897,57
66,-179.56317512446796,63
67,-75.33076134025593,42
68,-90.82361687786151,70
69,-131.1597862970313,47
70,-105.8156661563705,48
71,-107.04423602735591,41
72,-145.96856108085922,40
73,-112.35732501600964,70
74,-167.90784112081468,46
75,-252.35740864418005,70
76,-151.21157722323278,64
77,-200.27962623083917,46
78,-73.69622030952192,50
79,-194.05203248137119,51
80,-159.88235524882572,56
81,-234.3263057559452,70
82,-177.28377780235095,58
83,-229.76189017477245,70
84,-86.57489928786697,63
85,-73.33284647521528,44
86,-238.27794776455067,72
87,-113.71822166544807,60
88,-219.5638418801538,61
89,-113.03463077783901,44
90,-153.83108223405833,43
91,-147.59803432887904,68
92,-132.86505304103082,43
93,-34.3995682753669,49
94,-177.5123092379151,52
95,-155.24529850339218,37
96,-116.0211271637485,51
97,-125.76314171215641,45
98,-196.0604930101072,59
99,-122.224684084832,41
100,-184.07596290713713,67
101,-172.57388331176026,45
102,-236.8044239282,63
103,-131.3254267861819,51
104,-152.04228977595426,61
105,-197.22502571155388,53
106,-147.29866991008083,45
107,-97.84933971587452,39
108,-128.99137005084276,49
109,-130.1134075666758,51
110,-174.1995035621365,39
111,-116.38483632147698,48
112,-123.48959794416173,39
113,-244.59677459563517,62
114,-223.86281316277496,62
115,-168.79007763700605,48
116,-151.4076973036679,67
117,-77.99089709573164,39
118,-57.471233349967534,39
119,-147.61033967856088,44
120,-116.64231353581758,43
121,-117.66538706822826,44
122,-4.690204355495993,38
123,-144.22527456859837,59
124,-100.67801388021505,39
125,-262.2918815897949,60
126,-168.4886812248648,39
127,-109.77305121470027,63
128,-273.1630060796465,51
129,-214.15073279405763,45
130,-185.78926125481516,60
131,-187.2181170253801,50
132,-213.27906588799874,39
133,-203.8683150040546,44
134,-37.796498556428105,44
135,-154.9781118373823,54
136,-128.15414076228456,44
137,-46.34691734952166,40
138,-182.9605122942799,43
139,-219.94635634737347,42
140,-54.29868583541609,40
141,139.78296700583516,10
142,-179.76255396629864,44
143,-238.4305273151394,64
144,-159.7238332086431,38
145,-139.6677916325034,53
146,-206.02351499553313,46
147,-172.03901555045798,63
148,-114.27891683153267,58
149,-200.3627168746215,51
150,-147.86217813360867,51
151,-128.35629989844983,50
152,-221.4776479883151,55
153,-31.03076624937501,37
154,-206.822832738229,39
155,-127.6151487844656,48
156,-156.60226847102984,39
157,-231.95525896317105,60
158,-207.07373995254258,47
159,-214.32233895653334,59
160,-194.41126381400952,48
161,-149.63117355731538,40
162,-177.94867057163356,53
163,-130.662488501511,60
164,-253.92658989559717,48
165,-173.1121618197671,38
166,-10.427064402357011,38
167,-113.25095529175786,49
168,-185.06585461604783,44
169,-156.7741559782263,53
170,-161.33463758163117,66
171,-164.23592841629733,66
172,173.6739046299325,22
173,-11.750799608155504,44
174,-215.13962358881386,40
175,-255.6044099480597,46
176,-159.8422289552435,48
177,-35.1890450700095,37
178,-122.0634273637679,56
179,-185.5369639411011,38
180,-266.9254638809456,55
181,-92.95118748705809,55
182,-233.9234849568251,41
183,-164.8331704878784,36
184,-211.2463948084762,42
185,-175.3656370086661,51
186,-139.14704489653684,39
187,-164.33545199534012,37
188,-197.99626992713678,37
189,-110.68281104070002,39
190,-80.27937043453497,46
191,-203.51447255681416,43
192,-214.7467323630284,39
193,-200.88145379890264,42
194,-166.4962078052756,37
195,-198.0446179644053,40
196,-294.86272099317847,58
197,-145.82348754259613,48
198,-193.07293902768984,49
199,-208.39816933376954,43
200,-199.15840492371322,38
201,-222.27195725953555,47
202,-194.36384263687575,40
203,-211.11296285644787,40
204,-133.07940925993603,38
205,-260.45245127986664,55
206,-137.7667573779437,51
207,-119.81596383869245,51
208,-251.0581569414919,50
209,-197.74444629888038,40
210,-221.43256673565153,36
211,-236.10176634933035,39
212,103.73866828548638,2
213,-271.368084475053,46
214,-203.69557330834695,39
215,-269.31479976499867,46
