episode,reward,steps
0,-154.83785774813052,200
1,-132.54205517297302,200
2,-121.4793272782573,200
3,-98.65814435121115,200
4,-99.14508325057673,200
5,-164.70900860118934,81
6,164.21761570492316,15
7,-166.0251137263773,59
8,-188.42725173874774,62
9,-211.46952099632347,45
10,-133.47673651224704,42
11,-180.61207091197525,56
12,-194.38089675862471,54
13,-182.8204259329182,50
14,-32.85015888304697,39
15,-151.79157290770496,45
16,-73.96527634979134,55
17,-144.63946931771238,39
18,-275.6495748622386,56
19,-29.705119303774186,54
20,-208.12397864741365,36
21,-169.16707299041246,45
22,8.199675983827717,43
23,-44.17218681578952,40
24,-135.7310682177524,54
25,-146.31879921862725,42
26,-185.350096460284,39
27,-131.03693349432316,41
28,-216.11515946999933,50
29,-196.68484821971126,38
30,-122.07369284791885,47
31,-226.53089258799122,45
32,-79.97123513246697,41
33,-283.6349318620295,55
34,-128.6768406693384,38
35,-179.13474414651114,39
36,-116.9369079953886,56
37,-147.2689633829137,49
38,-166.50150435508755,53
39,-218.56693955483362,65
40,-158.23195172581694,63
41,-180.5515621853888,100
42,-132.6502588885506,110
43,35.33556122960987,200
44,-1.708504663265088,200
45,80.87117306459812,200
46,156.82055548200586,40
47,7.558640424289454,200
48,25.398592651349222,200
49,167.36919982362602,23
50,54.223061275479104,200
51,11.441721347314969,200
52,189.72014198854166,35
53,140.19612315210648,18
54,40.276946378781936,200
55,183.545190809976,80
56,18.407929975651268,200
57,48.27941841543806,200
58,151.96637347437775,51
59,68.35360706875294,200
60,173.00223306007362,96
61,185.6188796717428,43
62,147.33358116538398,24
63,167.9668997980413,79
64,100.0,1
65,50.02981786626879,200
66,158.8356577028119,52
67,135.72950405290646,9
68,161.47352450338022,48
69,25.365530478418023,200
70,56.91945795661384,200
71,60.636479744481285,200
72,38.36525097070918,200
73,175.4500279638301,59
74,58.47874374128922,200
75,41.14231333318646,200
76,57.70711482338634,200
77,156.11150381795278,77
78,168.35302751469084,56
79,203.49564947942974,54
80,139.03022095239427,15
81,149.26943964659404,24
82,211.59487929843118,44
83,155.75277763113905,86
84,154.4307599530917,25
85,188.53423784682855,197
86,122.88707977598013,116
87,55.53415104122436,200
88,144.4467008236179,24
89,130.06747869568386,35
90,179.13131607639687,78
91,162.75772567649275,39
92,37.600657887089554,200
93,144.4695058985773,11
94,143.50061041487498,15
95,178.8759678456645,30
96,178.72694120249236,97
97,174.6510548082062,67
98,177.00700659103455,31
99,161.142321718287,43
100,185.7253500632678,32
101,9.221251079218645,200
102,157.4621913670078,25
103,201.6588831768843,83
104,190.30878194979078,38
105,180.4782697776124,24
106,166.071269081811,39
107,174.0387893780395,53
108,169.0938355974338,35
109,116.45983143942625,200
110,202.36411136880483,35
111,161.85948987541386,19
112,51.537192446683164,200
113,174.66250866021414,40
114,210.51061514711674,75
115,159.49387563300837,19
116,169.9957752395341,79
117,167.95960782691307,30
118,189.8699606408444,29
119,45.144587628211134,200
120,65.47277559742714,200
121,125.64721696546904,7
122,148.41616372524106,14
123,154.6752527582661,58
124,214.4439726173989,31
125,28.82441393976605,200
126,164.4807455551727,23
127,162.5797015174031,25
128,65.22147108343721,200
129,244.94691737507213,89
130,125.41101490171849,200
131,55.37316885237164,200
132,262.26608362112097,63
133,215.92408332468017,31
134,178.29155505327702,26
135,176.01238471937143,37
136,138.288488305141,14
137,179.11886856515432,25
138,30.59454421902221,200
139,136.08335242490642,12
140,155.86407001648257,20
141,200.15211180880772,42
142,222.15537758153545,55
143,165.80231946889748,18
144,203.7451448254676,51
145,161.03626671310877,23
146,47.197201399441774,200
147,55.67678479250268,200
148,164.0994520814706,21
149,176.9275164643088,84
150,159.8051882629925,127
151,159.66844925736814,19
152,163.64673966066778,26
153,169.8114848099488,24
154,185.72164163899146,23
155,174.0886932729826,17
156,194.86415165485076,27
157,157.12661479909332,191
158,70.57329724071379,200
159,193.14494293017927,26
160,147.90807972943747,13
161,100.0,1
162,202.52621502823956,40
163,133.97670624748105,46
164,48.416749993387555,200
165,238.40124624532012,135
166,227.4374244410215,38
167,159.0543111794006,25
168,189.6648184239255,26
169,168.15402301165406,21
170,180.00337474463439,35
171,115.99447413285462,10
172,65.13862099262978,200
173,175.19829567802134,39
174,153.17907003274044,20
175,210.2928050722213,66
176,143.74614512618683,200
177,187.36102734843283,26
178,148.19879294057375,20
179,122.62430376586886,13
180,153.1698484823546,15
181,159.19758158039176,19
182,160.07053303542475,15
183,187.46716315862375,26
184,136.84004920032254,191
185,32.88959903495849,200
186,161.7385558397827,67
187,200.88628587421402,27
188,112.8374802873027,200
189,158.10985799855266,20
190,152.6611594581619,14
191,226.55079735385772,29
192,192.96856019564254,22
193,137.72324538215253,197
194,154.74314864013203,26
195,177.22436143364348,94
196,165.71335889021657,19
197,218.69900993084826,34
198,182.566948251979,23
199,61.26166511706846,200
200,196.19997796071772,35
201,35.998150438392095,200
202,121.31018309016125,50
203,192.33743813398237,26
204,181.3796177561074,24
205,163.6020850643747,183
206,137.52192156147885,15
207,100.0,1
208,146.93353881881438,31
209,168.9265836501981,20
210,197.83444621645697,31
211,211.33175462014893,25
212,208.45926341183372,35
213,170.21506344883593,24
214,201.91920997420132,32
215,140.9080742739597,15
216,187.81982194436296,28
217,158.48622519929123,16
218,191.42014361138737,24
219,216.19231188953347,119
220,97.8531980162848,200
221,139.37510246974642,12
222,204.62456948337865,24
223,164.49447074700535,20
224,153.61703149843424,14
225,166.89931678323262,25
226,165.82461629887496,24
227,179.1036397041156,18
228,157.71821446010443,22
229,82.078638581142,200
230,178.7228993120882,19
231,241.36997837747612,71
232,195.9768385554521,28
233,176.3049619433907,25
234,154.4144153637565,24
235,228.6748736286843,63
236,203.0763975316457,27
237,157.3556455956387,17
238,181.84075857874492,19
239,231.17247286516132,45
240,143.27589335375012,16
241,204.75472062126101,38
242,205.78094750015072,39
243,164.40172812368837,17
244,207.41556591363255,49
245,108.54977215279895,200
246,205.83014066946356,38
247,152.81698382004151,13
248,197.047706882998,23
249,143.46938596194488,17
250,204.39513266491267,24
251,127.9569913951066,200
252,134.16880251211927,10
253,202.8944398617699,36
254,179.91442877714883,23
255,235.8829890280374,50
256,177.19033949912856,20
257,127.70817074543793,7
258,193.38837019010828,22
259,200.6341222021074,23
260,160.03323649358848,22
261,144.12652239965882,17
262,186.87478141765212,23
263,135.75390238865896,12
264,168.97265117201255,25
265,169.22365600348473,177
266,131.67237697390263,9
267,150.04063080878643,20
268,197.3162867019111,24
269,186.27836336110425,23
270,181.27197066037428,23
271,161.98145805600143,17
272,162.58894257701218,23
273,149.17904972428641,20
