episode,reward,steps,train_success,train_collision,train_timeout,final_distance,exploration_noise
0,-1.224048157817715,200,0,0,1,18.48596034264252,0.2
1,-10.211156573406111,200,0,0,1,10.251803794957445,0.1998
2,99.99581379321631,16,1,0,0,1.4911988196702852,0.1996002
3,2.7801851295134683,200,0,0,1,9.459751014563668,0.19940059980000002
4,-12.244910416730397,200,0,0,1,15.719197990249555,0.19920119920020002
5,-23.57785452685517,200,0,0,1,4.452759275929508,0.19900199800099982
6,-57.969441643144,72,0,0,0,10.938200676425385,0.1988029960029988
7,-161.22221061294937,37,0,0,0,17.829166081600167,0.19860419300699583
8,-213.26561802607432,57,0,0,0,22.784417593269236,0.19840558881398881
9,1.377511972880498,13,0,1,0,5.200323912420052,0.19820718322517483
10,-88.78240275393064,37,0,0,0,20.929892520903664,0.19800897604194967
11,-226.0316074446212,44,0,0,0,25.96031127232452,0.1978109670659077
12,-30.729056808155683,6,0,1,0,5.472985690922139,0.19761315609884178
13,2.5378302512191624,70,0,0,0,13.433962324916337,0.19741554294274297
14,-145.69677794779233,65,0,0,0,21.59535276320967,0.1972181273998002
15,-121.25902734548033,58,0,0,0,17.379284739850263,0.1970209092724004
16,-87.99737670790695,61,0,0,0,11.236281807663987,0.196823888363128
17,-136.42912849227687,58,0,0,0,13.32892759241553,0.19662706447476488
18,-162.99198372715415,50,0,0,0,15.139101450001155,0.1964304374102901
19,121.89009447059993,9,1,0,0,1.3198941676872205,0.19623400697287982
20,65.91875540690681,72,0,0,0,7.818405180625126,0.19603777296590696
21,3.228204261074488,67,0,0,0,8.281235155116047,0.19584173519294104
22,-24.964802089195654,13,0,1,0,9.111056122272153,0.19564589345774808
23,-119.6725985727732,38,0,0,0,16.020854548028456,0.19545024756429036
24,-109.10669084635447,62,0,0,0,17.35486778882001,0.19525479731672604
25,-166.87294646907776,43,0,0,0,16.633831377125492,0.19505954251940932
26,-27.637967333819187,89,0,1,0,4.466755788957831,0.19486448297688994
27,-28.7105767620005,74,0,1,0,3.727849956045599,0.19466961849391304
28,132.03237426526627,200,0,0,1,4.846300443009437,0.19447494887541913
29,-6.21061028195993,15,0,1,0,14.352387170421494,0.19428047392654368
30,-1.6798423944950875,200,0,0,1,5.650834953877251,0.19408619345261716
31,-35.55165213666011,11,0,1,0,3.044287271574425,0.19389210725916453
32,-5.167382621052788,71,0,1,0,4.298975308423851,0.19369821515190536
33,8.073713111456419,200,0,0,1,3.6646723749486516,0.19350451693675347
34,-24.930267067890192,13,0,1,0,6.817478206160225,0.1933110124198167
35,-28.800556540971833,24,0,1,0,6.171806578398465,0.1931177014073969
36,119.94360276387592,37,1,0,0,1.3860294687431045,0.1929245837059895
37,-30.62635626985719,200,0,0,1,3.522402053678209,0.19273165912228352
38,4.876905902439873,20,0,1,0,6.505943639392703,0.19253892746316123
39,-24.180978913893714,10,0,1,0,5.689730162811528,0.19234638853569808
40,79.1063944116155,200,0,0,1,4.769687377437904,0.19215404214716236
41,17.926718751789164,200,0,0,1,2.299739787847138,0.19196188810501522
42,19.401471169069605,200,0,0,1,3.681336226440263,0.1917699262169102
43,21.06355871287771,200,0,0,1,4.70699167227638,0.19157815629069327
44,-8.582865613072512,200,0,0,1,3.10661439662992,0.1913865781344026
45,126.70539972047868,16,1,0,0,1.4658228806044982,0.19119519155626818
46,28.68148250967115,200,0,0,1,4.780072522735475,0.1910039963647119
47,65.80108185080555,200,0,0,1,3.1468765959151797,0.1908129923683472
48,-19.72372249218617,115,0,0,0,4.6243469468960186,0.19062217937597886
49,-44.476770866496786,11,0,1,0,4.136908302412269,0.19043155719660287
50,35.1309739042333,200,0,0,1,3.5972991353078796,0.1902411256394063
51,136.9560981113595,17,1,0,0,1.4406268262331405,0.19005088451376687
52,4.385691086302836,200,0,0,1,4.015865452030566,0.1898608336292531
53,-22.389748402875764,200,0,0,1,5.234978661733838,0.18967097279562384
54,57.0901213917972,200,0,0,1,2.56424714080848,0.1894813018228282
55,100.0,1,1,0,0,0.663067301946737,0.18929182052100538
56,40.99705504893695,200,0,0,1,3.3713616534454593,0.18910252870048438
57,178.82506658634625,53,1,0,0,1.4436206121967279,0.1889134261717839
58,171.456244669714,54,1,0,0,1.4974916814905943,0.1887245127456121
59,162.4483525394716,78,1,0,0,1.493753569807113,0.1885357882328665
60,121.04259524848723,200,0,0,1,1.5507051550855429,0.18834725244463366
61,159.15570577172116,35,1,0,0,1.42328261798235,0.188158905192189
62,165.14097057042227,89,1,0,0,1.4768464362393245,0.18797074628699684
63,167.27991658531357,53,1,0,0,1.4661988083889501,0.18778277554070982
64,-13.207694426745896,21,0,1,0,6.967182318305292,0.1875949927651691
65,164.58272914921523,97,1,0,0,1.497531977743265,0.18740739777240395
66,151.0255951092783,43,1,0,0,1.3162063365029248,0.18721999037463155
67,-50.0,1,0,1,0,4.143826552373306,0.18703277038425692
68,200.42419725218986,188,1,0,0,1.3914186687749321,0.18684573761387266
69,170.74703407406258,50,1,0,0,1.435269317144128,0.18665889187625878
70,-16.8070684578344,200,0,0,1,2.5362005658988056,0.18647223298438254
71,81.53414401058984,200,0,0,1,1.6929651073755903,0.18628576075139813
72,155.91608490081617,35,1,0,0,1.3767136118527514,0.18609947499064672
73,40.5573570194251,200,0,0,1,3.6999729176958454,0.1859133755156561
74,143.0242115344474,28,1,0,0,1.383471809578488,0.18572746214014044
75,-50.0,1,0,1,0,2.894591596530116,0.18554173467800028
76,252.38091082989212,64,1,0,0,1.4947082372627676,0.18535619294332228
77,208.18394466076478,46,1,0,0,1.2933118968161357,0.18517083675037896
78,31.725013994497182,200,0,0,1,2.709030849067166,0.18498566591362858
79,170.34501045020477,95,1,0,0,1.4237993024102666,0.18480068024771495
80,136.08828338713002,69,1,0,0,1.4190399444309143,0.18461587956746725
81,206.16677496460264,83,1,0,0,1.3519515042449535,0.18443126368789978
82,-50.0,1,0,1,0,8.014677616387003,0.1842468324242119
83,161.77402061000063,28,1,0,0,1.362033869293169,0.18406258559178768
84,131.30442680954394,62,1,0,0,1.4691876585317918,0.1838785230061959
85,243.27123716439652,154,1,0,0,1.3955523889996513,0.18369464448318967
86,170.8089621661073,29,1,0,0,1.4874772223029258,0.1835109498387065
87,10.572772798495023,200,0,0,1,4.439403492774927,0.1833274388888678
88,200.01996555176518,67,1,0,0,1.4447829617099603,0.1831441114499789
89,147.5914529468668,75,1,0,0,1.4076599335828617,0.18296096733852896
90,102.01237072334403,200,0,0,1,2.5562110469459562,0.1827780063711904
91,134.6057642605408,43,1,0,0,1.4466567744719945,0.18259522836481923
92,155.53108385759893,90,1,0,0,1.485459615591292,0.1824126331364544
93,157.62105036736486,27,1,0,0,1.4627996038288102,0.18223022050331794
94,139.11466293613148,31,1,0,0,1.4556520149724088,0.18204799028281463
95,136.98837296491268,20,1,0,0,1.455142619334735,0.18186594229253183
96,148.3321741213727,55,1,0,0,1.4826643552803835,0.18168407635023928
97,22.803818656699796,200,0,0,1,1.8638167461323205,0.18150239227388903
98,158.13809944300093,19,1,0,0,1.4778066150603306,0.18132088988161515
99,170.99264669340215,63,1,0,0,1.1822738035664768,0.18113956899173356
100,-14.054363771280073,200,0,0,1,6.3184578378481815,0.1809584294227418
101,146.71979469438276,19,1,0,0,1.2644435671603833,0.18077747099331906
102,22.732454455227842,200,0,0,1,4.314473145273988,0.18059669352232574
