episode,reward,steps,train_success,train_collision,train_timeout,final_distance,exploration_noise
0,-232.0597430561397,189,0,0,0,21.542272500039136,0.2
1,-192.7638240479414,181,0,0,0,25.02557925083741,0.1998
2,-217.64696371140113,183,0,0,0,24.958416014841593,0.1996002
3,-207.50493561945248,190,0,0,0,23.384329481799714,0.19940059980000002
4,-164.06053639561665,200,0,0,1,18.14158299634435,0.19920119920020002
5,-185.45247408906198,126,0,0,0,19.50347903475831,0.19900199800099982
6,6.542896084880091,58,0,0,0,9.27574180059084,0.1988029960029988
7,197.900599747996,23,1,0,0,1.4064664091837955,0.19860419300699583
8,-209.92468018142242,57,0,0,0,23.24826020859984,0.19840558881398881
9,-222.5788705038223,53,0,0,0,22.981908143489203,0.19820718322517483
10,-223.6096705427353,42,0,0,0,22.73738320567782,0.19800897604194967
11,-212.17992730025526,39,0,0,0,21.943558713567036,0.1978109670659077
12,-181.890826278977,38,0,0,0,21.93461490776345,0.19761315609884178
13,-43.107195479850986,55,0,0,0,10.4414239679408,0.19741554294274297
14,-153.82112787978397,50,0,0,0,15.700602337603563,0.1972181273998002
15,-109.47472246412538,39,0,0,0,12.738240514606906,0.1970209092724004
16,-102.38809478011586,45,0,0,0,14.870838349022684,0.196823888363128
17,-73.89481973814432,59,0,0,0,11.752763807414187,0.19662706447476488
18,-136.7072423091372,42,0,0,0,14.296596996773872,0.1964304374102901
19,-88.77919753840598,45,0,0,0,14.121695898299237,0.19623400697287982
20,-63.11685722646777,58,0,0,0,11.179501969850428,0.19603777296590696
21,-30.436933473686445,39,0,0,0,7.827984765274936,0.19584173519294104
22,-130.7855124610468,52,0,0,0,15.603581192200853,0.19564589345774808
23,112.73820728072265,4,1,0,0,1.3859312215850519,0.19545024756429036
24,-150.4927159577636,45,0,0,0,16.31194989733015,0.19525479731672604
25,-178.52186501436017,46,0,0,0,21.656002833811833,0.19505954251940932
26,-174.1959469763928,59,0,0,0,22.72066784302961,0.19486448297688994
27,-46.358330705026965,57,0,0,0,10.26833856814129,0.19466961849391304
28,-102.6082621031705,66,0,0,0,16.195375478352474,0.19447494887541913
29,-149.70502965036286,38,0,0,0,13.440244325386992,0.19428047392654368
30,-121.19011435322452,36,0,0,0,14.334340400095845,0.19408619345261716
31,-118.48167272717374,48,0,0,0,13.62111267487298,0.19389210725916453
32,-103.09407892393759,70,0,0,0,17.341390779320196,0.19369821515190536
33,-101.4487241099267,61,0,0,0,13.96239279166134,0.19350451693675347
34,-18.977511763278102,41,0,0,0,7.336347244914726,0.1933110124198167
35,-157.0080143718569,43,0,0,0,19.06805289097684,0.1931177014073969
36,138.63923455466264,12,1,0,0,1.2988701520135848,0.1929245837059895
37,-140.40923792373428,60,0,0,0,17.395287822839588,0.19273165912228352
38,-76.64878604298497,47,0,0,0,9.701021733320777,0.19253892746316123
39,13.880626078434403,48,0,0,0,4.961599705066502,0.19234638853569808
40,-99.55244865887738,49,0,0,0,13.269237702940702,0.19215404214716236
41,49.45460627343796,82,0,0,0,5.297487197944165,0.19196188810501522
42,164.64721638682056,174,1,0,0,1.3777220576163347,0.1917699262169102
43,196.78057770116817,72,1,0,0,1.4322605817292853,0.19157815629069327
44,54.34283547610504,200,0,0,1,2.4060560528961386,0.1913865781344026
45,139.43505255690022,120,1,0,0,1.4569802719715272,0.19119519155626818
46,149.87342998788768,195,1,0,0,1.4912100312494871,0.1910039963647119
47,163.38259523267007,193,1,0,0,1.436730673876894,0.1908129923683472
48,75.12415419800857,200,0,0,1,4.463478471373378,0.19062217937597886
49,171.6122719065326,33,1,0,0,1.3844179348293684,0.19043155719660287
50,54.883534843151295,200,0,0,1,2.7570975045592943,0.1902411256394063
51,121.70875492869486,200,0,0,1,1.7236806372986924,0.19005088451376687
52,174.19678719420915,156,1,0,0,1.4956614273083826,0.1898608336292531
53,135.2282404874261,10,1,0,0,1.4717713205116598,0.18967097279562384
54,147.7721099369261,39,1,0,0,1.4195103267847906,0.1894813018228282
55,66.89311896744294,200,0,0,1,3.0728611437346456,0.18929182052100538
56,192.9973539079229,34,1,0,0,1.4041619636132294,0.18910252870048438
57,28.217929687640943,200,0,0,1,4.55812623277381,0.1889134261717839
58,181.69766728042725,31,1,0,0,1.4322615146067328,0.1887245127456121
59,77.72479017819916,200,0,0,1,3.19436030526558,0.1885357882328665
60,179.59845783018392,36,1,0,0,1.4711551792863444,0.18834725244463366
61,139.50881739192113,28,1,0,0,1.4234864915361987,0.188158905192189
62,132.79197398708885,13,1,0,0,1.421135823106992,0.18797074628699684
63,136.02730045340698,200,0,0,1,2.637138493501701,0.18778277554070982
64,155.53231222644445,18,1,0,0,1.3360262918601598,0.1875949927651691
65,166.84620789988543,158,1,0,0,1.439546877543606,0.18740739777240395
66,147.5720002149539,39,1,0,0,1.3952139353131447,0.18721999037463155
67,185.27193073652208,58,1,0,0,1.375621233726433,0.18703277038425692
68,65.09604050693507,200,0,0,1,3.476573306585591,0.18684573761387266
69,53.400718104842994,200,0,0,1,3.39025660009344,0.18665889187625878
70,170.1563465131387,20,1,0,0,1.430248609438409,0.18647223298438254
71,65.2548195929645,200,0,0,1,2.6224726438088055,0.18628576075139813
72,164.53461820619057,41,1,0,0,1.437209243222733,0.18609947499064672
73,101.45163511196253,200,0,0,1,3.424476350078605,0.1859133755156561
74,245.40096501791456,176,1,0,0,1.3587549652952993,0.18572746214014044
75,197.29633478721763,117,1,0,0,1.4710399770373424,0.18554173467800028
76,83.55033063541086,200,0,0,1,3.1113364027631354,0.18535619294332228
77,70.45345122321667,200,0,0,1,4.226568796167906,0.18517083675037896
78,178.87325848466492,29,1,0,0,1.498811015192627,0.18498566591362858
79,161.2039001542604,200,0,0,1,2.39104247005255,0.18480068024771495
80,178.6829777559286,26,1,0,0,1.484704357944641,0.18461587956746725
81,200.94415032349337,24,1,0,0,1.3638873066770116,0.18443126368789978
82,189.6446359645339,27,1,0,0,1.4829566961725247,0.1842468324242119
83,135.04295858166938,14,1,0,0,1.495958659596888,0.18406258559178768
84,108.59117149604128,3,1,0,0,1.4167459325907872,0.1838785230061959
85,186.91525655968206,21,1,0,0,1.4429597450004856,0.18369464448318967
86,64.03273191128127,200,0,0,1,2.9313161848203557,0.1835109498387065
87,61.42990941762418,200,0,0,1,2.914322129979495,0.1833274388888678
88,31.257901876316122,200,0,0,1,4.578899317307734,0.1831441114499789
89,33.450968213487535,200,0,0,1,2.4078244269215014,0.18296096733852896
90,194.7835736130425,36,1,0,0,1.4323664765607107,0.1827780063711904
91,27.33062751462642,200,0,0,1,5.434900970507238,0.18259522836481923
92,55.59756258440779,200,0,0,1,4.322250017499527,0.1824126331364544
93,62.402596954019764,200,0,0,1,1.7065076418556164,0.18223022050331794
94,107.58087738739067,200,0,0,1,6.076036227011469,0.18204799028281463
95,5.624222662822878,200,0,0,1,2.662030123973391,0.18186594229253183
96,166.11926720195942,123,1,0,0,1.4863082620631214,0.18168407635023928
97,130.7134866891144,70,1,0,0,1.4993066819935155,0.18150239227388903
98,53.570791631818985,200,0,0,1,4.874973924775028,0.18132088988161515
99,192.68830428455732,33,1,0,0,1.4846984121786626,0.18113956899173356
100,7.753424527339062,200,0,0,1,4.885162121071501,0.1809584294227418
101,152.030968040655,55,1,0,0,1.4721554230972764,0.18077747099331906
102,48.495137066566755,200,0,0,1,2.4806918592364404,0.18059669352232574
103,121.3265760236852,200,0,0,1,2.56016754454015,0.1804160968288034
104,112.88820042847888,158,1,0,0,1.482309322423355,0.1802356807319746
105,180.36727399514461,29,1,0,0,1.4776580761120306,0.18005544505124263
106,178.39063266328702,28,1,0,0,1.4798701672928865,0.1798753896061914
107,161.1617375052641,25,1,0,0,1.4331514030032406,0.1796955142165852
108,141.13864997011447,27,1,0,0,1.4148472303191766,0.17951581870236863
109,39.09402563766325,200,0,0,1,2.2297384799911892,0.17933630288366625
110,67.14961268711342,200,0,0,1,4.2528566989541945,0.1791569665807826
111,79.96659162283301,200,0,0,1,3.071848360757129,0.17897780961420182
112,36.99071135833572,200,0,0,1,4.590508770071579,0.17879883180458758
113,174.1927226720462,23,1,0,0,1.4787594368087478,0.178620032972783
114,46.98311915747583,200,0,0,1,2.818362612231926,0.17844141293981022
115,183.40911097365517,38,1,0,0,1.4970293237746872,0.17826297152687043
116,158.8752552715132,200,0,0,1,1.5642186729186747,0.17808470855534353
117,124.37147186057847,10,1,0,0,1.496361227433611,0.1779066238467882
118,119.96048183358666,8,1,0,0,1.3100490963762081,0.17772871722294142
119,245.59674600707447,83,1,0,0,1.3584659192179795,0.1775509885057185
120,184.1466760210836,25,1,0,0,1.317558238588852,0.17737343751721277
121,184.84343044081845,26,1,0,0,1.409947938152894,0.17719606407969554
122,207.49465607767053,50,1,0,0,1.4786670227072054,0.17701886801561584
123,55.685833521443136,200,0,0,1,3.246470852739474,0.17684184914760023
124,148.93711004765993,13,1,0,0,1.3603738866580672,0.17666500729845264
125,195.80480708400657,27,1,0,0,1.234458726785192,0.17648834229115418
126,162.9149718041497,21,1,0,0,1.3244781167117994,0.17631185394886303
127,186.79160875766001,29,1,0,0,1.3447784133057274,0.17613554209491417
128,34.39672291556991,200,0,0,1,2.887295057717051,0.17595940655281925
129,178.7020279278435,25,1,0,0,1.4906769953222028,0.17578344714626642
130,240.65435200321966,50,1,0,0,1.3722181126308681,0.17560766369912018
131,185.1715224651656,31,1,0,0,1.4691901445963889,0.17543205603542103
132,166.3067398582825,167,1,0,0,1.4611099895754582,0.17525662397938563
133,144.94334588711098,15,1,0,0,1.338749623568496,0.17508136735540625
134,172.35756517526497,24,1,0,0,1.4712785184103858,0.17490628598805083
135,167.74790803176697,123,1,0,0,1.4922693112575156,0.17473137970206276
136,162.73546452441485,15,1,0,0,1.3666650775954599,0.17455664832236073
137,186.24779901828055,26,1,0,0,1.295609677167583,0.17438209167403834
