episode,reward,steps,train_success,train_collision,train_timeout,final_distance,exploration_noise
0,-232.0597430561397,189,0,0,0,21.542272500039136,0.2
1,-192.77071047153922,181,0,0,0,25.02608331065513,0.2
2,-217.63840623035486,183,0,0,0,24.957023002830127,0.2
3,-207.50811120438436,190,0,0,0,23.383991273846856,0.2
4,-164.0497802370251,200,0,0,1,18.139705715280726,0.2
5,-185.6956358939903,126,0,0,0,19.526013880569785,0.2
6,6.590763663511183,58,0,0,0,9.273326513084154,0.2
7,197.76105362432895,23,1,0,0,1.4187384933716434,0.2
8,-209.58535212785242,57,0,0,0,23.214112629816462,0.2
9,-222.39157605999108,53,0,0,0,22.962729347463775,0.2
10,-223.46244725421775,42,0,0,0,22.72240933549228,0.2
11,-212.04052367522996,39,0,0,0,21.929549932929575,0.2
12,-181.76794696534324,38,0,0,0,21.92424239957962,0.2
13,-42.7638307145763,55,0,0,0,10.401564901719237,0.2
14,135.77849416605463,9,1,0,0,1.133838116922255,0.2
15,-45.60094309122163,39,0,0,0,8.645282114544177,0.2
16,-79.16995517008318,41,0,0,0,14.980967563043748,0.2
17,-104.72018503164853,45,0,0,0,15.102476292983237,0.2
18,-120.01426573105455,59,0,0,0,16.46679714422239,0.2
19,-166.7874808066634,42,0,0,0,17.40120023566322,0.2
20,-181.06954482848946,45,0,0,0,23.37612800805998,0.2
21,-77.5285044063991,47,0,0,0,12.931369864345504,0.2
22,-76.26858149565697,47,0,0,0,12.291388349049775,0.2
23,-156.22299752326765,46,0,0,0,23.607681835762378,0.2
24,-131.27496818250324,50,0,0,0,16.313790441891094,0.2
25,-142.8410578467338,37,0,0,0,15.905482712184497,0.2
26,-201.4754689732106,36,0,0,0,17.73347501886109,0.2
27,-218.49492686511562,55,0,0,0,27.36040593224263,0.2
28,-149.32717473805363,64,0,0,0,25.497264088699822,0.2
29,-241.6892762653524,53,0,0,0,27.78029691730304,0.2
30,-149.85283764692565,47,0,0,0,16.634989366754027,0.2
31,-14.869523556984106,39,0,0,0,12.022886296034464,0.2
32,-289.9435039754481,68,0,0,0,32.83279480072686,0.2
