episode,reward,steps,train_success,train_collision,train_timeout,final_distance,exploration_noise
0,-77.5208382526814,200,0,0,1,10.708004997221243,0.05
1,56.72181737932039,200,0,0,1,5.048495068559603,0.05
2,-76.7766956595667,200,0,0,1,16.39718598212889,0.05
3,-19.149433868012636,200,0,0,1,10.764198896762487,0.05
4,-55.75253693070887,200,0,0,1,13.832373256245724,0.05
5,-196.59724231010554,86,0,0,0,19.820037147661186,0.05
6,-62.29062162537752,46,0,0,0,7.592212898800351,0.05
7,-225.38370423528445,65,0,0,0,26.59049225212051,0.05
8,120.62063419763939,7,1,0,0,1.481212470759755,0.05
9,-170.4596105653675,35,0,0,0,18.984103506853504,0.05
10,-182.28352381045758,40,0,0,0,21.878191154733756,0.05
11,-193.81594335806585,52,0,0,0,22.25607580558615,0.05
12,-266.54394526645876,46,0,0,0,27.023155367860387,0.05
13,-248.5265779685377,48,0,0,0,28.438507784080834,0.05
14,-132.3795763905647,103,0,0,0,21.19642392080616,0.05
15,-100.02887812723004,129,0,0,0,12.385039957215069,0.05
16,-48.95124062979593,77,0,0,0,10.109031362253793,0.05
17,-39.40676349513775,70,0,0,0,9.906037340695322,0.05
18,-59.31089628295936,51,0,0,0,10.142186037061103,0.05
19,-97.95792172474553,56,0,0,0,10.850624435333668,0.05
20,59.074399277360286,67,0,0,0,7.180217548463998,0.05
21,-123.66527926591895,71,0,0,0,13.975789663281114,0.05
22,10.45451855279936,200,0,0,1,8.453444500035024,0.05
23,181.20971808862788,192,1,0,0,1.4860725020959402,0.05
24,65.45169817196049,200,0,0,1,2.1961457584803705,0.05
25,9.216628293066965,200,0,0,1,6.909616449248905,0.05
26,49.73488509743735,200,0,0,1,5.691274736769428,0.05
27,154.16957590993658,70,1,0,0,1.4545153747543058,0.05
28,111.48640223223643,34,1,0,0,1.4971652245742597,0.05
29,74.92993937772175,200,0,0,1,3.135866213269924,0.05
30,62.66866638516181,200,0,0,1,5.8040754162120285,0.05
31,36.58757890870721,200,0,0,1,5.2293300412558095,0.05
32,157.59282449765985,44,1,0,0,1.3330910810145267,0.05
33,46.917331380331134,200,0,0,1,4.2928154817903375,0.05
34,-24.13805347338494,200,0,0,1,4.219824393401909,0.05
35,-9.162974080960021,200,0,0,1,8.524963304344363,0.05
36,212.10271664505115,91,1,0,0,1.4717387964326707,0.05
37,110.45233780813871,4,1,0,0,1.4198511502364715,0.05
38,237.1604592666599,103,1,0,0,1.3836139009651385,0.05
39,81.37549916756672,200,0,0,1,3.2976957707923735,0.05
40,24.98457533629942,200,0,0,1,6.805408580376574,0.05
