episode,reward,steps,train_success,train_collision,train_timeout,final_distance,exploration_noise
0,-179.96026235162785,200,0,0,1,20.810858349343597,0.2
1,-133.9675304921141,200,0,0,1,18.68510619013724,0.2
2,-152.43788755399046,200,0,0,1,17.20657535936858,0.2
3,-133.73449917167582,200,0,0,1,20.339688860073352,0.2
4,-200.25233585261907,187,0,0,0,23.603293336462812,0.2
5,-196.9826894038053,82,0,0,0,23.065189204186538,0.2
6,-38.15429934085625,5,0,1,0,6.244076548492707,0.2
7,-80.4432617437505,55,0,0,0,10.74074794432349,0.2
8,-147.9136294476166,53,0,0,0,26.378205672383206,0.2
9,-200.36832210478408,59,0,0,0,22.067702007444396,0.2
10,-187.73394304507005,55,0,0,0,27.265556594518227,0.2
11,-177.0183151941956,59,0,0,0,23.21707676523267,0.2
12,100.0,1,1,0,0,0.21769024295903244,0.2
13,-239.20181704506913,41,0,0,0,20.380689538859954,0.2
14,-185.1005624587181,58,0,0,0,21.653882258144364,0.2
15,-201.66048307617825,44,0,0,0,24.30649673712727,0.2
16,-78.26773535966927,62,0,0,0,11.221780497771338,0.2
17,-94.44994246143838,53,0,0,0,15.865815478489298,0.2
18,-119.24710286174688,57,0,0,0,15.058592940169678,0.2
19,-137.39847547266885,63,0,0,0,18.49709837139644,0.2
20,-14.526678638787956,12,0,1,0,7.646922924898431,0.2
21,-178.17262331056787,67,0,0,0,19.136426464238653,0.2
22,-105.35514654503004,49,0,0,0,12.43911291808489,0.2
23,-30.688075948110487,45,0,0,0,6.6941866775004994,0.2
24,-149.70249460019772,60,0,0,0,15.788170111739268,0.2
25,-94.27478928336134,47,0,0,0,12.239489029059769,0.2
26,-144.9143602552441,41,0,0,0,15.238403641886242,0.2
27,-106.80524073224888,58,0,0,0,16.322549562097603,0.2
28,-102.9436739333436,95,0,0,0,14.00285186187425,0.2
29,7.070262787202613,200,0,0,1,7.208280517437564,0.2
30,-30.037948563525976,9,0,1,0,5.912511448652354,0.2
31,43.41235401590085,200,0,0,1,3.4731258626225627,0.2
32,-50.0,1,0,1,0,2.2905604302146214,0.2
33,-65.04242193753203,30,0,1,0,5.7354174650967105,0.2
34,-2.7777034890814165,200,0,0,1,9.109892339105441,0.2
35,36.23547884813436,200,0,0,1,4.00880080206525,0.2
36,-49.22869333643849,2,0,1,0,2.086871293656899,0.2
37,60.300060077006414,200,0,0,1,4.849300729839047,0.2
38,-49.11344751810926,2,0,1,0,5.27214241337485,0.2
39,190.26452129715,107,1,0,0,1.4687000577520044,0.2
40,82.982601287896,200,0,0,1,2.451979593371955,0.2
41,177.45259837272198,85,1,0,0,1.4844062597934264,0.2
42,66.6985038599258,200,0,0,1,2.761932442555841,0.2
43,35.861678402727655,200,0,0,1,4.729000380374666,0.2
44,68.13159189325863,200,0,0,1,2.219960621378777,0.2
45,86.25647953270328,200,0,0,1,4.382234926278463,0.2
46,0.13193133656605793,200,0,0,1,6.743426766100725,0.2
