episode,reward,steps,train_success,train_collision,train_timeout,final_distance,exploration_noise
0,-176.26475852113967,200,0,0,1,20.66655621615789,0.05
1,-139.71646768433368,200,0,0,1,19.3584034979441,0.05
2,-148.55639910522623,200,0,0,1,16.921582467128328,0.05
3,-133.52373131631225,200,0,0,1,20.427687146055227,0.05
4,-198.97958680621048,199,0,0,0,23.605261220120624,0.05
5,-70.16966423578836,60,0,0,0,13.045718852297615,0.05
6,-220.97786226107547,48,0,0,0,22.982334529319854,0.05
7,-155.9374959790499,53,0,0,0,18.903290998957562,0.05
8,-93.68061531851188,58,0,0,0,15.60468566313745,0.05
9,-257.32544490706675,53,0,0,0,31.975567928370985,0.05
10,-171.86397204469375,36,0,0,0,19.558052593423636,0.05
11,-157.72200933990524,42,0,0,0,19.525747615810534,0.05
12,-226.4357221529573,45,0,0,0,26.36104984041556,0.05
13,-168.86567705034687,78,0,0,0,13.5040688996771,0.05
14,-85.96783181084304,45,0,0,0,15.681574687787025,0.05
15,-166.33995945822397,39,0,0,0,19.214537284541056,0.05
16,-45.80955104050916,2,0,1,0,10.039804977799635,0.05
17,-142.2219907501697,42,0,0,0,21.28762589205237,0.05
18,-189.12742065104948,41,0,0,0,20.83901556092114,0.05
19,-177.22221579102074,58,0,0,0,21.032708671189607,0.05
20,-47.32433245373674,2,0,1,0,3.80838593929598,0.05
21,-177.73115066303916,41,0,0,0,16.735188805888615,0.05
22,-164.461580207853,54,0,0,0,21.523821064006867,0.05
23,-86.81444241773342,59,0,0,0,14.2325730729991,0.05
24,49.21330564948912,200,0,0,1,6.263274235258405,0.05
25,38.805723569935644,200,0,0,1,6.542816479771607,0.05
26,-54.68544501858763,7,0,1,0,3.837039083298329,0.05
27,62.151932945255865,200,0,0,1,4.861468231208477,0.05
28,-7.04661839651765,200,0,0,1,9.837895410632838,0.05
29,-54.03749228923226,200,0,0,1,10.738226471976343,0.05
30,-47.67804516227923,105,0,0,0,10.604419647401242,0.05
31,77.77762211046227,200,0,0,1,8.728309464628499,0.05
32,-7.8875854226988125,166,0,0,0,11.117861217089105,0.05
33,-20.065213339711033,161,0,0,0,9.320620389753284,0.05
34,-92.82404370539899,103,0,0,0,11.879450602138359,0.05
35,17.619094649563863,200,0,0,1,9.375267012187685,0.05
36,8.338724471178097,43,0,0,0,3.3387797221570947,0.05
37,-108.86294714663437,104,0,0,0,13.37473966475231,0.05
38,67.11669808889297,200,0,0,1,7.509234472481476,0.05
39,15.132850537820396,200,0,0,1,9.148722657535691,0.05
40,6.957584297707326,200,0,0,1,6.074281261636163,0.05
41,-11.557560515547486,200,0,0,1,5.046636428705345,0.05
42,48.165491194942085,200,0,0,1,3.445960000523363,0.05
43,30.161738819537455,200,0,0,1,6.550422584446674,0.05
44,85.36800327465706,200,0,0,1,5.377064952043578,0.05
45,13.545786431198582,200,0,0,1,3.8298001630282763,0.05
46,-50.0,1,0,1,0,2.40797923234243,0.05
47,107.68215429719274,200,0,0,1,3.3183570834691056,0.05
48,-6.283450818586969,200,0,0,1,2.9249405804026365,0.05
49,29.465534865910573,200,0,0,1,4.26159973480141,0.05
50,69.22917715012734,200,0,0,1,2.4021768582727203,0.05
51,234.90053216967806,87,1,0,0,1.4430126917413197,0.05
52,55.95730565510868,200,0,0,1,3.9678415200904773,0.05
53,192.4992862919768,60,1,0,0,1.3397354307807186,0.05
54,104.68637923324366,200,0,0,1,2.686476523525447,0.05
55,94.41616464720009,200,0,0,1,1.6990200456251707,0.05
56,224.62075603484882,105,1,0,0,1.4751985485395998,0.05
57,177.8801188701927,160,1,0,0,1.484978255480407,0.05
58,181.88866198153488,35,1,0,0,1.4594713167180995,0.05
59,166.64405020601993,74,1,0,0,1.495029948886909,0.05
60,161.81510460625026,56,1,0,0,1.496822605437581,0.05
61,-50.0,1,0,1,0,4.12326522569394,0.05
62,-39.23339847174677,14,0,1,0,4.55360966927915,0.05
63,49.79114920634834,200,0,0,1,3.492230611236685,0.05
64,137.0336711323489,34,1,0,0,1.4829593611475913,0.05
65,-29.271102385796038,200,0,0,1,6.768939507163956,0.05
66,189.97861570766804,133,1,0,0,1.4796634516121545,0.05
67,31.469579768249115,200,0,0,1,4.144253386536203,0.05
68,35.88082953050529,200,0,0,1,6.293064234533755,0.05
69,21.844964218369466,200,0,0,1,7.01931694103928,0.05
70,34.283587207845635,200,0,0,1,1.9716832879915276,0.05
71,57.459942489887716,200,0,0,1,2.8914999066037774,0.05
72,157.40444145734662,73,1,0,0,1.4747997354242475,0.05
73,-111.81513706919395,93,0,1,0,5.490038503521601,0.05
74,-22.16242508753078,200,0,0,1,4.071579211850302,0.05
75,165.43608152752046,93,1,0,0,1.494409713654252,0.05
76,148.36927413745144,104,1,0,0,1.3834926883917915,0.05
77,138.39412597725652,62,1,0,0,1.448600724473234,0.05
78,14.516101296036657,200,0,0,1,4.574553705999386,0.05
79,34.90875943827313,200,0,0,1,6.2854113670529665,0.05
80,65.79949015121628,200,0,0,1,2.901128246580552,0.05
81,151.7669485062576,20,1,0,0,1.4802709623482724,0.05
82,224.9759074941684,191,1,0,0,1.4341272342351552,0.05
83,39.93932601002429,200,0,0,1,5.391913298293954,0.05
84,63.02079630794742,200,0,0,1,2.531715686596592,0.05
85,46.17799107126143,200,0,0,1,4.50662357361292,0.05
86,113.51154699609907,162,1,0,0,1.391564443223497,0.05
87,79.44221330033898,200,0,0,1,3.419476428298445,0.05
88,167.74180753676643,75,1,0,0,1.492678038344788,0.05
89,44.94299582557768,200,0,0,1,4.245276805187716,0.05
90,122.98646443222928,200,0,0,1,3.0399944380016954,0.05
91,171.67735123815027,105,1,0,0,1.4879358571569399,0.05
92,31.563536419035433,200,0,0,1,5.998750985737088,0.05
93,55.9829672375845,200,0,0,1,3.8577415806348867,0.05
94,42.712641696324624,200,0,0,1,3.235098178955706,0.05
95,-4.8592644973842125,200,0,0,1,4.693110791880557,0.05
96,-1.8943244632349279,200,0,0,1,7.233819686401616,0.05
97,55.45868874943872,200,0,0,1,2.6420959992658304,0.05
98,16.714173659155588,200,0,0,1,5.9833782389375445,0.05
99,44.66915045369538,200,0,0,1,3.6963322470561177,0.05
100,19.564615558960657,200,0,0,1,4.603829507602604,0.05
101,63.70063326923558,200,0,0,1,4.569925493063355,0.05
102,-5.712783651379722,200,0,0,1,4.849194555866343,0.05
103,242.849584808802,67,1,0,0,1.4424605894579126,0.05
104,61.48562816236502,200,0,0,1,6.017244316181123,0.05
105,51.505136324154826,200,0,0,1,4.485015859487489,0.05
106,32.211708115890005,200,0,0,1,4.795021200601147,0.05
107,18.993517978985675,200,0,0,1,2.974787574257837,0.05
108,164.73078611127482,42,1,0,0,1.3368253652798217,0.05
109,78.48672721388407,200,0,0,1,2.7097903525909746,0.05
110,18.622338768389586,200,0,0,1,7.832239762163291,0.05
111,30.911166285513502,200,0,0,1,4.0058580082388735,0.05
112,31.216195171305014,200,0,0,1,3.1686688221451003,0.05
113,58.772912735080496,200,0,0,1,6.533965467384995,0.05
114,11.463196691945202,200,0,0,1,3.838062359860524,0.05
115,-10.964464029376032,200,0,0,1,4.924579198758491,0.05
116,189.19488185293687,39,1,0,0,1.499840451735918,0.05
117,100.37566405981568,200,0,0,1,3.4344623574894877,0.05
118,-15.820103238794355,200,0,0,1,7.239694070491828,0.05
119,39.98432849685169,200,0,0,1,3.6929486805306135,0.05
120,-50.0,1,0,1,0,3.1532024287473566,0.05
121,-1.8183392648978824,200,0,0,1,4.702862481896259,0.05
122,23.700684724020526,200,0,0,1,5.14329271869971,0.05
123,134.59220093512516,37,1,0,0,1.4590320100854326,0.05
124,-22.977850742977356,13,0,1,0,7.310827343975547,0.05
125,13.528376561512443,200,0,0,1,2.5522816352281317,0.05
126,29.203172080166713,200,0,0,1,6.464762982787072,0.05
127,43.4068796192191,200,0,0,1,3.566489408790821,0.05
128,173.62259598589432,57,1,0,0,1.4703145080371138,0.05
129,207.48916603388625,58,1,0,0,1.4473871367798847,0.05
130,140.49433360301865,45,1,0,0,1.4159993651334752,0.05
131,1.095272256006253,200,0,0,1,8.78527238030732,0.05
132,-11.157715275707078,200,0,0,1,5.556371469178477,0.05
133,41.499337182431475,200,0,0,1,5.108055167764423,0.05
134,15.3331948140901,200,0,0,1,6.343039210227952,0.05
135,82.52007562933943,200,0,0,1,2.645305458200356,0.05
136,-130.69294240487125,198,0,0,0,14.857620385101391,0.05
137,45.25402078390039,200,0,0,1,3.7106178215767276,0.05
138,51.46867414384518,200,0,0,1,3.6294494318995403,0.05
139,261.4972863799095,93,1,0,0,1.4901766429937342,0.05
140,33.491895985936694,200,0,0,1,4.143163548271216,0.05
141,178.67098648441691,187,1,0,0,1.4584860555075085,0.05
142,20.315333837501342,200,0,0,1,3.234282258483369,0.05
143,65.0025041158553,200,0,0,1,3.6365875215072143,0.05
144,2.695402820173485,200,0,0,1,4.37806039544694,0.05
145,43.03424698512721,200,0,0,1,3.460873625058982,0.05
146,51.250573667656866,200,0,0,1,3.3172285309493614,0.05
147,118.54636548675781,200,0,0,1,3.1057936468061293,0.05
148,180.92577026491784,41,1,0,0,1.3904070807561446,0.05
149,148.3283388167938,22,1,0,0,1.3411559490062839,0.05
150,-50.0,1,0,1,0,5.772528785786453,0.05
151,25.77103756316294,200,0,0,1,4.781536697624317,0.05
152,56.020967991411354,200,0,0,1,2.9890106821898805,0.05
153,139.12212222742303,22,1,0,0,1.4726116301729433,0.05
154,11.34843425930938,200,0,0,1,4.646818155442977,0.05
155,135.73643203133187,29,1,0,0,1.3786384808239636,0.05
156,161.01583610896932,54,1,0,0,1.4893532426936222,0.05
157,206.27693141345543,84,1,0,0,1.4559763016930731,0.05
158,96.7288291067611,200,0,0,1,2.725953377408756,0.05
159,186.28090543612979,79,1,0,0,1.4762131135536678,0.05
160,202.83386389156558,52,1,0,0,1.4825049218670971,0.05
161,174.14091041280847,30,1,0,0,1.3572037684764104,0.05
162,118.18279092226372,11,1,0,0,1.384854471188912,0.05
163,-50.0,1,0,1,0,2.8391479398236905,0.05
164,143.17990341809144,200,0,0,1,2.3459916984893745,0.05
165,149.76074480744097,40,1,0,0,1.2107014919578187,0.05
166,194.46925477975338,57,1,0,0,1.4012329601648617,0.05
167,-26.466315383869336,12,0,1,0,7.759632941990936,0.05
168,33.857045168307394,200,0,0,1,4.939404601411115,0.05
169,52.458565594129986,200,0,0,1,5.396509657107409,0.05
170,41.330496619793614,200,0,0,1,2.1871218262419507,0.05
171,42.7816608465948,200,0,0,1,4.723391744522616,0.05
172,96.30116687620482,200,0,0,1,2.060198239810947,0.05
173,36.74608630585632,200,0,0,1,5.014494810361486,0.05
174,84.65200605906891,200,0,0,1,2.343756859610123,0.05
175,216.4224448494898,156,1,0,0,1.4355449236997182,0.05
176,126.35678099850317,200,0,0,1,2.8767257064945437,0.05
177,201.91327368503227,152,1,0,0,1.4692229445102774,0.05
178,18.16070967040893,200,0,0,1,4.18803027185913,0.05
179,51.89171458634345,200,0,0,1,4.561600866422719,0.05
180,-50.0,1,0,1,0,3.879890158466341,0.05
181,235.56083131955722,200,1,0,0,1.4937221499205329,0.05
182,156.54278894021115,27,1,0,0,1.383668930536476,0.05
183,-0.8401128102598427,200,0,0,1,7.604112580437092,0.05
184,14.30613504504144,200,0,0,1,4.5340169697232655,0.05
185,-12.683436975141587,200,0,0,1,5.351667281937809,0.05
186,127.39268235238656,32,1,0,0,1.4173137144868209,0.05
187,170.89713809388908,88,1,0,0,1.4908304629916298,0.05
188,178.02623437011613,43,1,0,0,1.4340954309760383,0.05
189,147.0194698086623,40,1,0,0,1.4252887474721123,0.05
190,193.06472643913713,56,1,0,0,1.469331826466274,0.05
191,87.77567949290481,200,0,0,1,6.000472117023035,0.05
192,179.30695033210597,43,1,0,0,1.4379029866293935,0.05
193,159.27229657852064,69,1,0,0,1.4895096361278717,0.05
194,201.6248657445708,50,1,0,0,1.468970977691807,0.05
195,180.35248464993464,42,1,0,0,1.3315710074540619,0.05
196,-22.029707563163345,200,0,0,1,6.064446491833144,0.05
197,155.14241704041342,50,1,0,0,1.3861914072249186,0.05
198,79.2964832636127,200,0,0,1,2.85509603650869,0.05
199,134.28326644624053,34,1,0,0,1.469719494203455,0.05
200,43.58259838271046,200,0,0,1,3.135909083092234,0.05
201,52.85485351451601,200,0,0,1,2.7616665418952198,0.05
202,228.08643470002508,59,1,0,0,1.48491059697775,0.05
203,166.2198939602331,32,1,0,0,1.4151162730592421,0.05
204,115.69973013041185,9,1,0,0,1.4963470141157982,0.05
205,39.43373505258064,200,0,0,1,5.018170190110864,0.05
206,192.95115775799994,52,1,0,0,1.389854023925169,0.05
207,-15.54383483429644,200,0,0,1,5.033645822138904,0.05
208,185.13962376087636,77,1,0,0,1.4566468524181535,0.05
209,199.40630837202883,47,1,0,0,1.4699731686366762,0.05
210,6.211458817205079,200,0,0,1,5.332098265168853,0.05
211,152.00901468769842,21,1,0,0,1.2289655678584297,0.05
212,7.946841660337187,200,0,0,1,4.167911194322492,0.05
213,180.49763459467403,48,1,0,0,1.4666288238519372,0.05
214,189.7262842717572,65,1,0,0,1.4861969840711475,0.05
215,127.24043479507922,200,0,0,1,5.025569021684762,0.05
216,55.22529989113965,200,0,0,1,2.97153680464502,0.05
217,217.8405197318527,121,1,0,0,1.4715271122052247,0.05
218,179.21487050885105,34,1,0,0,1.4662636879816178,0.05
219,173.62246966540533,43,1,0,0,1.4231142416728293,0.05
220,86.95927108464033,200,0,0,1,1.806188605973982,0.05
221,49.933978637914265,200,0,0,1,2.05720057208517,0.05
222,151.7526556041495,35,1,0,0,1.4982638798804824,0.05
223,207.59645511068328,51,1,0,0,1.4466020100828108,0.05
224,164.47579741600165,22,1,0,0,1.4970290804058752,0.05
225,59.442453991343505,200,0,0,1,3.0256023922725,0.05
226,185.14327506251044,42,1,0,0,1.3462444257398452,0.05
227,209.96989882299647,63,1,0,0,1.3650315062989369,0.05
228,175.4372477954729,37,1,0,0,1.3246540970434173,0.05
229,15.716331834071745,200,0,0,1,2.03857381626209,0.05
230,153.93309425010312,39,1,0,0,1.4460269250406013,0.05
231,224.5737505795714,55,1,0,0,1.3947750192004253,0.05
232,163.38331934808332,36,1,0,0,1.406264361780605,0.05
233,7.35334760726154,92,0,0,0,5.095562100317165,0.05
234,174.57247236219425,36,1,0,0,1.3327812457626196,0.05
235,2.9063842176020285,200,0,0,1,6.453261117624439,0.05
236,16.490702622916725,200,0,0,1,3.939075888371353,0.05
237,169.77039572024856,49,1,0,0,1.444621747851635,0.05
238,216.28819306251813,49,1,0,0,1.4756392598301844,0.05
239,150.13413033530426,200,0,0,1,2.384919714285277,0.05
240,196.16259574363556,106,1,0,0,1.4802065531007567,0.05
241,145.0891579273263,45,1,0,0,1.386762635349259,0.05
242,104.9517278053841,127,1,0,0,1.4787048120200632,0.05
243,171.4048178159437,27,1,0,0,1.3119697295526611,0.05
244,147.898526242589,19,1,0,0,1.4610584312269352,0.05
245,139.19767277160153,16,1,0,0,1.460901349924467,0.05
246,138.83475462729106,24,1,0,0,1.3184020751573555,0.05
247,180.2231935333024,25,1,0,0,1.4482202574169478,0.05
248,23.180920629587845,200,0,0,1,4.922955601132357,0.05
249,173.68557235351372,142,1,0,0,1.4503091847446226,0.05
250,143.0363070096152,26,1,0,0,1.3604576685700582,0.05
251,-50.0,1,0,1,0,11.201532703401767,0.05
252,125.53331487290586,200,0,0,1,2.5085244807809786,0.05
253,158.34270749172774,32,1,0,0,1.4839913862647207,0.05
254,162.01242474423188,34,1,0,0,1.4379606274296222,0.05
255,148.81370702035508,35,1,0,0,1.4524427591528444,0.05
256,29.42403316180787,200,0,0,1,5.879465788317687,0.05
257,-47.57400579679301,200,0,0,1,7.138248504698697,0.05
258,172.49106083074076,34,1,0,0,1.4647030222327226,0.05
259,139.83529891778355,200,0,0,1,3.349805615579321,0.05
260,207.24975504515606,179,1,0,0,1.4938218225880329,0.05
261,182.57710737964686,28,1,0,0,1.4651708548272404,0.05
262,4.923307580751644,200,0,0,1,3.7631218779666233,0.05
263,10.086443095871381,48,0,1,0,7.604062763028939,0.05
