experiment_name,use_curriculum,noise_mode,seed,test_success_rate,test_collision_rate,test_timeout_rate,avg_final_distance,avg_test_reward
baseline_no_curriculum_decay,False,decay,0,1.0,0.0,0.0,1.3876541160854647,171.78401578321427
baseline_no_curriculum_decay,False,decay,1,0.9,0.0,0.1,1.3680278336097131,159.5557322391449
baseline_no_curriculum_decay,False,decay,2,1.0,0.0,0.0,1.331565158934405,161.8619917697828
no_curriculum_large,False,large,0,0.9,0.0,0.1,1.3924738976155953,160.50882654454352
no_curriculum_large,False,large,1,1.0,0.0,0.0,1.3616555054936734,168.87218642560387
no_curriculum_large,False,large,2,1.0,0.0,0.0,1.3650047017745783,161.00481123286156
no_curriculum_small,False,small,0,1.0,0.0,0.0,1.3135886073527951,173.33417137458935
no_curriculum_small,False,small,1,0.9,0.0,0.1,1.340075747117692,159.0945296485373
no_curriculum_small,False,small,2,1.0,0.0,0.0,1.3108151530108316,161.55145299699717
curriculum_decay,True,decay,0,0.9,0.0,0.1,1.4018634519330913,161.0403417229463
curriculum_decay,True,decay,1,1.0,0.0,0.0,1.3185163262271924,169.22731151253737
curriculum_decay,True,decay,2,1.0,0.0,0.0,1.3445394191110023,161.75185134359157
curriculum_large,True,large,0,0.9,0.0,0.1,1.497785791947025,162.31698632613347
curriculum_large,True,large,1,1.0,0.0,0.0,1.2926624811958176,169.09106853584169
curriculum_large,True,large,2,0.9,0.0,0.1,1.8579454422264328,147.04929956390993
curriculum_small,True,small,0,1.0,0.0,0.0,1.369706769940132,171.46031632713277
curriculum_small,True,small,1,0.9,0.0,0.1,1.3654794291774242,158.88623271866498
curriculum_small,True,small,2,1.0,0.0,0.0,1.390989786663758,160.3504100051457
