episode,reward,steps
0,23.651712331674723,200
1,-76.90558128227003,200
2,-20.886536909721077,200
3,-71.52117013645874,200
4,-217.85775690423168,15
5,11.441731635556714,200
6,-160.16591536764787,68
7,-130.46206517014392,45
8,-171.67823542693557,45
9,-15.653708904582736,53
10,-137.91341125660688,52
11,-187.78968230800257,62
12,-173.06020054185103,54
13,-260.87624898702484,66
14,-233.76511273248477,56
15,-262.36503543428887,59
16,23.983085681572888,42
17,-38.41194856801516,41
18,-127.07096148060835,65
19,-230.31905994386742,65
20,-165.52246332613169,9
21,-58.094081052961585,39
22,-173.32547980544254,8
23,-42.45636755112525,47
24,-80.66975138160994,49
25,-127.73524255511649,39
26,-141.99555851110892,46
27,-119.72271191145572,51
28,-125.75453727179168,52
29,-133.37068712348875,38
30,176.34258911287634,18
31,-145.63085238826855,53
32,-54.46123877039053,44
33,-101.07321235255989,46
34,-118.84058425190378,49
35,-41.1269370413281,39
36,-173.28525523752813,15
37,-90.68944617519087,41
38,-155.4666196810081,86
39,-154.76025859044742,63
40,-147.42065938613325,66
41,11.91719190461189,42
42,-75.74044527085307,54
43,-180.84182212853395,8
44,-114.44113789167876,38
45,-201.10987809351198,67
46,-97.82053004742775,56
47,-272.6996372242662,99
48,-181.12755897401567,7
49,-198.29471520912034,47
50,-147.85587178168035,60
51,-49.58155537865021,66
52,-48.517307500838676,179
53,-100.775931624799,64
54,-87.77069883964941,52
55,-60.330071392997766,62
56,-230.79136254591677,95
57,-8.587192851483046,48
58,19.883462445771414,110
59,-78.0404666745647,79
60,8.316221147551929,52
61,-69.1434802781938,177
62,33.457906260507755,200
63,-178.69720684913617,119
64,-145.9352875069188,20
65,-181.83274229989553,9
66,46.991225746644496,200
67,-145.7078529913873,20
68,-200.0,1
69,-70.27447600605637,44
70,25.333676799085417,200
71,-27.26738408925193,124
72,27.98789320810289,200
73,-179.46081077645061,8
74,36.85107318060002,200
75,-115.84549785895051,182
76,25.933676101125393,200
77,65.24774490346492,200
78,33.74733132747099,200
79,40.9859693809569,200
80,21.345647808470478,200
81,30.475258960822842,200
82,11.674799210957909,200
83,32.30513093003016,200
84,-11.722979632710102,200
85,52.14795002003689,200
86,27.084413591620276,200
87,32.81700626021464,200
88,83.39871171438341,200
89,25.448905528599024,200
90,-198.8978200960677,3
91,68.23244042372365,200
92,176.5581479345537,88
93,154.94776330247623,105
94,234.81230259009385,73
95,102.75668908228731,200
96,70.69499389629858,200
97,-193.47602097804645,155
98,-18.05219215924358,200
99,125.41520071732411,25
100,172.1062562392184,48
101,-200.0,1
102,40.68094551226532,200
103,-73.800684459154,129
104,53.789798642362875,200
105,173.2618527508367,87
106,198.2526112205037,72
107,-27.179290735874105,200
108,-31.97653739945875,122
109,-160.3198452828136,14
110,51.76874144429791,200
111,76.95211158943425,200
112,174.51081826098016,79
113,-88.06699122171712,91
114,266.83711210655895,95
115,46.28140589541222,200
116,197.04266482708044,71
117,95.05419610324569,29
118,-118.15317230719218,171
119,77.98852264432215,200
120,7.584597806509077,200
121,70.15523896429661,200
122,-198.17960065570853,5
123,5.7816897081175584,200
124,18.17150776890668,170
125,62.14377853790806,200
126,46.81587799460524,200
127,90.03447852209834,200
128,83.22116658961347,200
129,13.46194275579367,200
130,59.825594975941875,200
131,120.48697870131807,200
132,49.61499611499043,200
133,33.21312856292452,200
134,29.837689401726145,200
135,19.717210426421,200
136,-201.97208794001185,10
137,-200.7479621625503,8
138,-16.651844320319462,200
139,17.285671176659786,200
140,22.724814180178267,200
141,34.08174113346618,200
142,-171.31524936809348,16
143,88.26115666858978,200
144,185.0230590816397,68
145,119.9118169928797,76
146,-200.0,1
147,-14.640316386712925,200
148,83.12927796863863,200
149,55.610916162442145,200
150,86.36910987555541,200
151,-58.804565627207445,194
152,-1.111402768486979,200
153,54.22444436213669,200
