episode,reward,steps
0,-309.30663557316234,200
1,-314.90882073000967,200
2,-308.44852589983566,200
3,-305.9257931437623,200
4,-307.4631331911661,200
5,-409.74127160473245,164
6,-411.033412877062,162
7,-415.81460746108286,163
8,-411.8880190195006,162
9,-418.141873693156,164
10,-412.54426287592764,162
11,-409.26991244057274,161
12,-410.4423041733796,161
13,-408.1537749963944,161
14,-463.32478634188914,165
15,-461.54618897248616,164
16,-450.7871160166938,161
17,-461.56365398453744,164
18,-465.4689670745114,165
19,-450.9306433175198,161
20,-457.9952038815853,163
21,-451.8432557626973,161
22,-460.3418834125373,164
23,-454.86298957956944,162
24,-459.6452342405952,163
25,-458.88809495573145,163
26,-454.57508462750917,162
27,-458.07056335385374,163
28,-442.9571596052265,159
29,-462.931725254597,164
30,-453.59831248394113,162
31,-452.44120681319674,161
32,-454.2095487809695,162
33,-455.95215128430186,163
34,-457.04302266385156,163
35,-451.73170701156084,162
36,-364.79026784861753,161
37,-368.5521223468418,163
38,-366.6035116719615,162
39,-302.20686306462477,163
40,-246.86850058015463,163
41,-187.5168502642867,162
42,-135.6599712030004,164
43,-137.27774572455354,163
44,-134.0599717498599,161
45,-135.60475330698284,162
46,-131.9890546807775,160
47,-137.07582750000796,163
48,-136.0284572802411,162
49,-135.1078123193553,162
50,-135.2085170735458,163
51,-138.28239672240352,163
52,-136.26368190516018,163
53,-137.5042111595128,164
54,-135.1117434988064,160
55,-138.14689669239945,163
56,-138.58766869744662,164
57,-137.21593480928374,164
58,-134.36232501584726,161
59,-134.84920623005075,162
60,-133.39285607316987,162
61,-135.34266531787924,161
62,-133.43317336425133,161
63,-137.14276869137083,163
64,-133.9498964133456,162
65,-137.40541365369918,164
66,-135.26987396735547,162
67,-136.08770661966136,163
68,-135.29751291354563,162
69,-133.0673572357574,160
70,-134.343923602009,160
71,-134.8419478706774,161
72,-136.56605809772762,162
73,-136.98804963326438,162
74,-137.43774526859846,163
75,-135.9663545320643,162
76,-134.33517528128812,162
77,-137.2470558711036,162
78,-135.6679247149049,162
79,-134.61770232063103,160
80,-135.68271024594378,163
81,-136.870011924824,162
82,-135.5389139049775,163
83,-136.20322207700067,162
84,-137.48807208679273,164
85,-133.6712453737827,160
86,-138.91993176972662,164
87,-136.95189140151348,163
88,-136.52574137450137,162
89,-138.77036385046546,164
90,-135.76751352290464,162
91,-136.57674592534167,162
92,-135.36680515177616,162
93,-135.52593939537812,160
94,-140.65198104224544,167
95,-136.94869357360227,164
96,-135.5547279430292,163
97,-134.45907266284925,162
98,-134.07765648991378,161
99,-135.92219251213817,163
100,-135.3758760648874,162
101,-136.13459332049365,162
102,-135.55849257592158,163
103,-131.31165818297094,159
104,-136.06207504903097,162
105,-136.12343109614653,162
106,-134.67373807834224,162
107,-131.90642345536563,159
108,-134.59064947159007,161
109,-135.62726761463605,161
110,-134.9042289398925,162
111,-137.28641220700587,162
112,-136.3915768768656,163
113,-135.8052824434332,162
114,-135.47782844777993,162
115,-136.21202915351722,163
116,-134.65003432972415,160
117,-134.50903066291977,161
118,-135.91371130114933,162
119,-136.60385097869977,162
120,-136.5985784033049,163
121,-134.88668536148984,161
122,-135.57312156604985,162
123,-134.07857827861054,162
124,-135.88998949983716,161
125,-135.63963822609017,162
126,-133.16598267686675,162
127,-138.1991427188027,164
128,-133.9385401728367,161
129,-135.0614668050451,163
130,-138.81495079332385,164
131,-135.78605129122613,163
132,-137.07739232816115,163
133,-135.52714695606596,162
134,-133.83310537678497,160
135,-134.42248396167278,161
136,-137.1310004097911,163
137,-135.52055586486625,162
138,-135.13614592476426,162
139,-135.8439153221696,161
140,-135.3972034429797,161
141,-135.4527634953929,162
142,-135.89183805278327,161
143,-137.28369777005932,164
144,-137.5456034157197,163
145,-133.71937544272419,160
146,-134.78046320768857,163
147,-138.1098537749035,164
148,-135.44151537501807,162
149,-134.82029747578324,162
150,-137.12152525488588,163
151,-133.25227101844993,161
152,-135.03493192196143,162
153,-136.56378102483484,162
154,-136.1775315809183,163
155,-136.21117385715013,161
156,-133.94208365183462,162
157,-136.67489759890594,162
158,-135.44137982345256,164
159,-136.2901627970192,163
160,-133.34305004274162,161
161,-133.84566854949404,162
162,-137.04572935138944,163
163,-133.39297583864652,162
164,-137.30893434470764,163
165,-134.28319814639494,160
166,-137.32528716328338,163
167,-136.47982870794002,162
168,-136.45227340447977,162
169,-135.41146911601479,161
170,-136.19186435971693,162
171,-136.79815505870212,162
172,-133.2357669424802,161
173,-135.38421727788494,163
174,-136.11647985382737,163
175,-135.56835527698888,162
176,-137.92839173545613,163
177,-133.07157618295435,161
178,-135.3322398883134,163
179,-134.1530485622966,160
180,-136.38199320397484,163
181,-135.12471562680477,161
182,-134.20258582486554,160
183,-135.04404301763756,161
184,-137.12409386258096,164
185,-135.1344883032475,161
186,-136.99728963563177,162
187,-136.84919271863185,163
188,-134.85406083110306,162
189,-136.97642065321085,163
190,-136.73907670140485,162
191,-136.38906035386336,163
192,-133.18541749714174,162
193,-136.60342115888523,163
194,-137.2785879918349,164
195,-136.23157121356016,163
196,-136.7564206896319,163
197,-136.09809336380192,161
198,-137.21130785268605,164
199,-130.4154304234228,159
200,-137.03546947962332,163
201,-135.27258481694568,161
202,-136.39183650398996,162
