episode,reward,steps
0,-401.3972656282544,180
1,-411.4139204249552,184
2,-405.3681457285796,183
3,-412.9533624470218,184
4,-404.7991367745153,182
5,-412.35051920276584,200
6,-339.9764827895207,162
7,-246.08495531930834,162
8,-245.92451523383576,163
9,-243.31271843935122,162
10,-149.7188452052227,161
11,-309.64117166198133,161
12,-309.33231479503115,161
13,-386.9945638101085,162
14,-399.79407316647024,160
15,-404.74044096322393,162
16,-394.62098932106653,163
17,-373.5169742943662,161
18,-338.5281764564815,162
19,-333.39239571384456,163
20,-281.74911625006575,164
21,-313.66776438363354,163
22,-311.27632859201543,161
23,-309.69808906602043,162
24,-308.91463344794573,160
25,-311.86392899839797,162
26,-312.2345863653051,162
27,-309.02504942874305,161
28,-314.7707062304565,163
29,-317.98051200249824,165
30,-311.9889682393012,163
31,-310.720392636988,162
32,-308.6559035063571,161
33,-311.7744322509381,162
34,-313.0017899757115,163
35,-312.1754671322291,161
36,-310.75008890811364,161
37,-316.307167239738,164
38,-313.3758086478272,162
39,-312.6723491902241,162
40,-312.22940742711745,162
41,-310.07910640018065,161
42,-311.3735440855337,162
43,-312.79997929895455,162
44,-309.0192110851814,161
45,-172.26026978388333,163
46,-204.37954592315097,162
47,-217.66751244259322,164
48,-164.08989241043776,163
49,-185.94808910214124,162
50,-200.36682810710536,163
51,-212.40350098506488,165
52,-223.88696584061103,165
53,-246.74121132650777,166
54,-247.30831248430502,200
55,-261.0347829182643,200
56,-257.5750658620365,200
57,-243.4450492956291,200
58,-227.9185727124743,200
59,-308.4486714927629,200
60,-223.80915371593653,200
61,-208.53350785035406,200
62,-222.55863579747546,200
63,-306.4828472610735,200
64,-202.12821056997296,200
65,-197.53211823152753,200
66,-194.77483336065978,200
67,-178.13773244060573,200
68,-170.67752085702156,200
69,-169.9141035559046,200
70,-149.54164397798013,200
71,-138.92193419135225,200
72,-137.4251976635788,200
73,-338.05947049258606,177
74,-214.09394731082682,200
75,-356.64465305046855,200
76,-292.8617556886391,200
77,-286.36757549982764,200
78,-271.2537618285175,200
79,-154.13580940990087,200
80,-192.9424386326381,200
81,-328.1881715120076,200
82,-280.1341890552245,200
83,-244.76496639220653,200
84,-228.68516330895883,200
85,-320.57671537980616,200
86,-271.06693525094784,200
87,-266.13311466165715,200
88,-279.6686260183548,200
89,-280.77366688472324,200
90,-276.7160017442798,200
91,-195.01168396847828,200
92,-199.9069248469383,200
93,-210.04205274008217,200
94,-207.48334175959482,200
95,-213.79149747548132,200
96,-213.24920742306978,200
97,-221.64453623526788,200
98,-239.26067188898296,200
99,-205.30997384938723,200
100,-230.1237377774915,200
101,-324.14591529470476,200
102,-222.00806203046704,200
103,-174.776576084664,200
104,-339.02499269551146,200
105,-213.57397323993843,200
106,-305.38209949575764,200
107,-302.8041887494394,200
108,-375.02440373678127,200
109,-238.77753200558152,200
110,-330.88493991817495,200
111,-272.72999554285576,200
112,-210.49205626085921,200
113,-254.60018659433211,180
114,-238.31124279596096,200
115,-237.8948936514413,164
116,-219.40871669492378,200
117,-208.53215202592466,200
118,-220.55431977277865,200
119,-215.84289949960188,200
120,-206.83041033288805,200
121,-206.15476986750508,200
122,-229.70457570980804,200
123,-269.36782354254706,200
124,-268.4108222605676,200
125,-327.4963976040469,200
126,-314.1974646707888,200
127,-220.35239657368837,200
128,-314.57689612207156,200
129,-333.32949214763903,200
130,-220.16306413707005,165
131,-211.88606133738128,163
132,-206.34504051250266,161
133,-205.19443198516348,163
134,-205.81338823868947,164
135,-209.00368432250986,164
136,-211.0932404005595,165
137,-204.52601196210594,163
138,-209.8978979895609,163
139,-203.84783775839847,163
140,-205.67118247584838,164
141,-208.221500071693,162
142,-204.61303350759806,163
143,-199.99213387529647,164
144,-207.81593815979136,162
145,-211.36337161554576,163
146,-215.90373607354343,163
147,-201.56345082400497,164
148,-210.23551442815057,161
149,-206.44325778130747,162
150,-204.42119588614634,162
151,-197.43408403818228,164
152,-206.8575702464749,164
153,-196.31616269658952,164
154,-215.66177644059235,166
155,-209.2754577045436,164
156,-205.02455598601398,165
157,-204.70658212369193,162
