episode,reward,steps
0,-358.44545391512656,200
1,-369.1958057955532,200
2,-379.3194836939096,200
3,-367.6001720338391,200
4,-374.16505336719445,200
5,-378.8771699507418,170
6,-364.08554842200033,161
7,-358.60818714397254,161
8,-368.6642875187569,163
9,-346.66172909760064,165
10,-315.3314028352471,164
11,-306.4786661543125,160
12,-319.3571622581727,165
13,-418.32254235386324,165
14,-407.7348629046174,162
15,-417.6513428836205,164
16,-410.97022190831234,161
17,-412.1206638506154,164
18,-324.8947186021156,174
19,-214.26856403751378,162
20,-218.9500530993612,163
21,-213.04476625435694,162
22,-209.41202814417355,165
23,-265.7553088035687,165
24,-231.45086887661256,165
25,-223.0176454681343,161
26,-272.58707101938893,200
27,-270.6488553918194,200
28,-277.20116518731714,200
29,-276.5287666716127,200
30,-279.9977824352488,200
31,-243.5945390039259,200
32,-259.7258848623738,200
33,-240.14039913611896,200
34,-239.51360285762286,200
35,-226.93206702454307,200
36,-223.6452170787944,200
37,-229.24109102427133,200
38,-235.78860994773746,200
39,-230.13998928131429,200
40,-231.59098778932363,200
41,-234.86171950661281,200
42,-221.77728308299245,200
43,-229.5363340163949,200
44,-231.23229447380265,200
45,-217.42113789445307,200
46,-226.25723994104112,200
47,-197.54731620004657,200
48,-204.5236610203332,200
49,-247.90453760733342,200
50,-223.70349523466538,200
51,-194.4435396452436,200
52,-215.1923453151851,200
53,-239.9342406223409,200
54,-198.25033843473108,200
55,-193.28706079366754,200
56,-192.60337022620416,200
57,-199.96697722209393,200
58,-170.97125574372188,200
59,-176.69858625702025,179
60,-163.8967175636208,163
61,-163.43205394374536,163
62,-163.98585447731273,162
63,-161.2978739702519,163
64,-156.34263178118954,162
65,-163.13973591181315,162
66,-159.42806662490707,163
67,-155.45642935362307,162
68,-160.83169099098018,162
69,-156.65609991081573,163
70,-151.5168371249871,163
71,-209.15529737857793,200
72,-156.3442054744099,163
73,-148.83015275931294,164
74,-153.18726341941093,167
75,-215.2816051290011,200
76,-175.65175819705908,200
77,-146.62032297724198,164
78,-172.78791098989723,200
79,-207.22516401235484,200
80,-153.58427237656434,166
81,-206.6573862748543,200
82,-186.97887621242498,200
83,-148.3543964879173,164
84,-165.12343364631104,200
85,-168.82640725288798,200
86,-169.25990754870665,200
87,-182.03247911682158,200
88,-168.62989690959378,200
89,-174.32918820455438,200
90,-176.80349371458485,200
91,-184.27543290761145,200
92,-169.40972518624716,200
93,-182.36687154780878,200
94,-170.30829214775622,200
95,-175.63738549361753,200
96,-168.16407481892065,200
97,-165.69332087759923,200
98,-161.75330682886644,200
99,-172.2661186666458,200
100,-166.05264623274348,200
101,-161.2751140466638,200
102,-172.80621510745257,200
103,-179.28526488721062,200
104,-179.67005025488916,200
105,-186.99316643914193,200
106,-170.5259113529948,200
107,-187.86892176355093,200
108,-242.62060163174905,200
109,-180.65419361677812,200
110,-237.2567230193444,200
111,-170.1049765709364,200
112,-164.33577881657155,200
113,-227.2850280065868,200
114,-203.43452734460888,200
115,-180.09291047624689,200
116,-233.04035720493263,200
117,-164.12148041629652,200
118,-165.53074161126233,200
119,-165.6175695973393,200
120,-204.57397397415073,200
121,-252.50616991737692,200
122,-170.6413053813143,200
123,-186.16748656847878,200
124,-173.61515722610295,200
125,-167.4539739095964,200
126,-170.2529909796719,200
127,-182.35748130686812,200
128,-195.8359597087016,200
129,-185.44500914141372,200
130,-185.34328732859652,200
131,-164.31551681348006,200
132,-217.14592961959784,200
133,-212.8352204806295,200
134,-169.9188087811548,200
135,-166.87440280957105,200
136,-200.63239699004032,200
137,-189.89791624246422,200
138,-183.04345986295846,200
139,-234.62541108464436,200
140,-201.1305308042586,200
141,-160.47451319584002,200
142,-172.11398804296306,200
143,-200.66901454296573,200
144,-175.0237510075815,200
145,-161.61915527639758,200
146,-170.38695930435208,200
147,-159.54596499158149,200
148,-159.22216189026807,200
149,-162.01079814396127,200
150,-169.0086640908703,200
151,-197.38879621271778,200
152,-169.94421294578302,200
153,-182.7392858653108,200
154,-170.75361958637563,200
155,-174.97315816953864,200
156,-179.5544786150072,200
157,-160.36831497109986,200
158,-162.10891639841077,200
159,-161.9072757979631,200
160,-192.62267795922858,200
161,-183.08037261443178,200
162,-210.99149165545117,200
163,-196.89638827725753,200
164,-169.35055127777719,200
165,-179.09665580726175,200
166,-183.41595765045065,200
167,-155.2375741045138,200
168,-199.24440921626743,200
169,-190.51109858757903,200
